index,Rk,Player,Pos,Tm,Cap Hit
201,,Jordan Reed,TE,WAS,3750000
202,,Bilal Powell,RB,NYJ,3750000
203,204,Pierre Garcon,WR,SFO,3675000
204,205,Michael Johnson,DE,CIN,3550000
205,206,Tavon Austin,WR,LAR,3500000
206,,Prince Amukamara,CB,CHI,3500000
207,,Frank Gore,RB,IND,3500000
208,,Ben Jones,C,TEN,3500000
209,,Cole Beasley,WR,DAL,3500000
210,211,Brandon Mebane,DT,LAC,3350000
211,212,Greg Robinson,OT,DET,3322377
212,213,Thomas Davis,LB,CAR,3250000
213,,Casey Hayward,DB,LAC,3250000
214,215,Blake Bortles,QB,JAX,3236565
215,216,Graham Gano,K,CAR,3200000
216,,Dan Bailey,K,DAL,3200000
217,218,Richie Incognito,G,BUF,3175000
218,219,Joel Bitonio,OT,CLE,3164777
219,220,Thomas Morstead,P,NOR,3150000
220,,Matt Prater,K,DET,3150000
221,222,Mark Ingram,RB,NOR,3100000
222,,Shawn Williams,SS,CIN,3100000
223,224,C.J. Fiedorowicz,TE,HOU,3097000
224,225,Tahir Whitehead,OLB,DET,3050000
225,226,Tony Jefferson,FS,BAL,3000000
226,,T.J. Ward,DB,TAM,3000000
227,,Jason Peters,T,PHI,3000000
228,,Markus Wheaton,WR,CHI,3000000
229,,Chris Baker,DT,TAM,3000000
230,,Josh McCown,QB,NYJ,3000000
231,,Brent Celek,TE,PHI,3000000
232,,Robert Woods,WR,LAR,3000000
233,,Terrelle Pryor,QB,WAS,3000000
234,,Ricky Wagner,OT,DET,3000000
235,,Russell Okung,T,LAC,3000000
236,,NaVorro Bowman,LB,2TM,3000000
237,,Fletcher Cox,DT,PHI,3000000
238,,Brandon Marshall,WR,NYG,3000000
239,,Derrick Shelby,DE,ATL,3000000
240,,William Gholston,DE,TAM,3000000
241,,Marcus Cooper,CB,CHI,3000000
242,,Kam Chancellor,DB,SEA,3000000
243,,Ryan Kalil,C,CAR,3000000
244,,Johnathan Hankins,DT,IND,3000000
245,,A.J. Bouye,CB,JAX,3000000
246,,Orlando Scandrick,DB,DAL,3000000
247,,T.J. Lang,T,DET,3000000
248,249,Andrew Sendejo,DB,MIN,2950000
249,250,Andre Branch,DE,MIA,2900000
250,,C.J. Anderson,RB,DEN,2900000
251,252,Steve McLendon,DT,NYJ,2875000
252,253,Colt McCoy,QB,WAS,2800000
253,,Kevin Huber,P,CIN,2800000
254,,Brett Kern,P,TEN,2800000
255,,Virgil Green,TE,DEN,2800000
256,,Domata Peko,DT,DEN,2800000
257,,Justin Tucker,K,BAL,2800000
258,259,Jonathan Casillas,LB,NYG,2750000
259,,William Hayes,DE,MIA,2750000
260,,Corey Peters,DT,ARI,2750000
261,,Adam Vinatieri,K,IND,2750000
262,,Reggie Nelson,DB,OAK,2750000
263,,Chris Clark,T,HOU,2750000
264,,Luke Joeckel,OT,SEA,2750000
265,,Kayvon Webster,CB,LAR,2750000
266,267,Todd Davis,LB,DEN,2746000
267,,Marcus Williams,CB,2TM,2746000
268,,Dontrelle Inman,WR,2TM,2746000
269,,Trey Burton,TE,PHI,2746000
270,,Wesley Johnson,OT,NYJ,2746000
271,,Brandon McManus,K,DEN,2746000
272,,Isaiah Crowell,RB,CLE,2746000
273,,Andrew Norwell,G,CAR,2746000
274,,Taylor Gabriel,WR,ATL,2746000
275,,Adam Thielen,WR,MIN,2746000
276,277,Stephen Gostkowski,K,NWE,2700000
277,,Travis Kelce,TE,KAN,2700000
278,279,Ramon Foster,T,PIT,2675000
279,280,Dante Fowler,OLB,JAX,2570478
280,281,Dre Kirkpatrick,CB,CIN,2550000
281,,Drew Stanton,QB,ARI,2550000
282,283,Chris Hogan,WR,NWE,2500000
283,,Morris Claiborne,CB,NYJ,2500000
284,,Cordarrelle Patterson,WR,OAK,2500000
285,,Quintin Demps,DB,CHI,2500000
286,,Jarius Wright,WR,MIN,2500000
287,,Jabaal Sheard,DL,IND,2500000
288,,Brandon Marshall,OLB,DEN,2500000
289,,Jared Cook,TE,OAK,2500000
290,,Patrick Chung,DB,NWE,2500000
291,,Ronald Leary,G,DEN,2500000
292,,Donald Stephenson,T,DEN,2500000
293,,Jamar Taylor,CB,CLE,2500000
294,,Dwayne Allen,TE,NWE,2500000
295,,Abry Jones,DT,JAX,2500000
296,297,Dwayne Harris,WR,NYG,2475000
297,298,Zane Beadles,T,SFO,2450000
298,,Emmanuel Lamur,LB,MIN,2450000
299,300,Johnny Hekker,P,LAR,2444444
300,301,Ryan Succop,K,TEN,2400000
301,,Marquette King,P,OAK,2400000
302,,Da'Norris Searcy,DB,TEN,2400000
303,,Terence Newman,DB,MIN,2400000
304,305,Sam Koch,P,BAL,2300000
305,,Micah Hyde,CB,BUF,2300000
306,,Tom Johnson,DT,MIN,2300000
307,308,Brian Cushing,LB,HOU,2264706
308,309,Chad Henne,QB,JAX,2250000
309,,Terrell McClain,DL,WAS,2250000
310,,Lane Taylor,G,GNB,2250000
311,,Vincent Rey,LB,CIN,2250000
312,,Elvis Dumervil,DE,SFO,2250000
313,,Arthur Moats,LB,PIT,2250000
314,,James Hanna,TE,DAL,2250000
315,,Stacy McGee,DT,WAS,2250000
316,317,Sam Martin,P,DET,2225000
317,318,Jermaine Kearse,WR,NYJ,2200000
318,,Matthew Bosher,P,ATL,2200000
319,,Wesley Woodyard,LB,TEN,2200000
320,321,Anthony Barr,OLB,MIN,2157750
321,322,Shane Vereen,RB,NYG,2150000
322,323,J.J. Wilcox,S,PIT,2125000
323,324,Vance McDonald,TE,PIT,2100000
324,,Mike Daniels,DT,GNB,2100000
325,326,Brandon Carr,DB,BAL,2000000
326,,Ben Ijalana,OL,NYJ,2000000
327,,Josh Robinson,CB,TAM,2000000
328,,Connor Barwin,DE,LAR,2000000
329,,Lorenzo Alexander,LB,BUF,2000000
330,,Vince Williams,ILB,PIT,2000000
331,,Clinton McDonald,DT,TAM,2000000
332,,Justin Bethel,CB,ARI,2000000
333,,D.J. Hayden,CB,DET,2000000
334,,Brice McCain,DB,TEN,2000000
335,,Kyle Juszczyk,FB,SFO,2000000
336,,Vernon Davis,TE,WAS,2000000
337,,Matt Slauson,G,LAC,2000000
338,,Robert Alford,CB,ATL,2000000
339,,Jermaine Gresham,TE,ARI,2000000
340,,Johnathan Cyprien,SS,TEN,2000000
341,,Antoine Bethea,DB,ARI,2000000
342,,Dion Sims,TE,CHI,2000000
343,,D.J. Swearinger,FS,WAS,2000000
344,,Sylvester Williams,DT,TEN,2000000
345,,Brynden Trawick,S,TEN,2000000
346,,Danny Trevathan,OLB,CHI,2000000
347,,William Gay,DB,PIT,2000000
348,,Paul Worrilow,LB,DET,2000000
349,,J.C. Tretter,OG,CLE,2000000
350,,Phil Dawson,K,ARI,2000000
351,,Ted Ginn,WR,NOR,2000000
352,353,Taylor Lewan,OT,TEN,1986136
353,354,Kenny Stills,WR,MIA,1975000
354,355,Ed Dickson,TE,CAR,1950000
355,,Marcus Sherels,DB,MIN,1950000
356,,Marquise Goodwin,WR,SFO,1950000
357,358,Kurt Coleman,LB,CAR,1900000
